title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
Decon - Night Work 10pm -6.30am,New Zealand Couriers,Key Freight Sorting Team Night Team,https://www.seek.co.nz/job/82642695?type=standard&ref=search-standalone&origin=cardTitle#sol=a39af3fa93f8842a79790da9eec422431eda7c7d,3d ago,,,Mount Maunganui,Bay of Plenty,Base rate + 3% kiwisaver contribution,2025-03-13,,,Apply
Part-time Retail Assistant,NZ Uniforms,Join a great team and further your career with a NZ owned family business focussed on growth.,https://www.seek.co.nz/job/82255638?type=standard&ref=search-standalone&origin=cardTitle#sol=0faa5f5654283aa754655a137998f12ae0dcf6ba,20d ago,,,Mount Maunganui,Bay of Plenty,$24 – $26 per hour,2025-03-13,,,Quick Apply
Operations & Admin Coordinator,Vision Intelligence,"Bring your customer focus, strong admin skills and energetic attitude to this brand leading company!",https://www.seek.co.nz/job/82709985?type=standard&ref=search-standalone&origin=cardTitle#sol=332198fe15bdff49e7fecbc4f63caf1d993f9569,1d ago,,,Mount Maunganui,Bay of Plenty,$27 – $28 per hour,2025-03-13,,,Quick Apply
Kitchen Assistant - Part Time,Ryman Healthcare,"Become a skilled multitasker, keeping the kitchen in order and creating kitchen harmony!",https://www.seek.co.nz/job/82567944?type=standard&ref=search-standalone&origin=cardTitle#sol=f2b0be9f98874c9b141738c40a0861e17a0f7c08,7d ago,,,Mount Maunganui,Bay of Plenty,$25 – $30 per hour,2025-03-13,,,Apply
Retail Sales Assistant - Part-time,Stewart Dawsons,Are you looking for a career with a company that's going places? Join the team at Stewart Dawson's in this part time role as Retail Sales Assistant.,https://www.seek.co.nz/job/82714749?type=standard&ref=search-standalone&origin=cardTitle#sol=f98be7f3a23ce646abc14d6e2bdc593ff6a8def2,1d ago,,,Mount Maunganui,Bay of Plenty,$23.15+ per hour starting rate,2025-03-13,,,Apply
Burger King Crew Member,SSP Australia,Opening a new Burger King site within Christchurch Airport,https://www.seek.co.nz/job/82002943?type=standard&ref=search-standalone&origin=cardTitle#sol=233a40ebd28a496921eba9973507a0d6fb7e2f03,30d+ ago,,,Mount Maunganui,Bay of Plenty,"Negotiable on Exp + Kiwi Saver | Part Time Remote",2025-03-13,,,Quick Apply
Cleaning Assistant,Nurse Maude,"Part time (35 hours per week) cleaning role, working with an organisation who have been caring for the community for over 100 years.",https://www.seek.co.nz/job/82605553?type=standard&ref=search-standalone&origin=cardTitle#sol=1c44af1a16025e5d452a033e69e71bd1f4385b66,6d ago,,,Mount Maunganui,Bay of Plenty,$26 - $28,2025-03-13,,,Apply
Waiter / Waitress / Front of House,1822 Hospo Ltd,"Enjoy competitive wages, flexible hours, and career growth opportunities as our next Waitress in Auckland.",https://www.seek.co.nz/job/82035493?type=standard&ref=search-standalone&origin=cardTitle#sol=a562f4df4b0294a3f08b060b2c31583a7afcd52a,1mo ago,,,Mount Maunganui,Bay of Plenty,$18.80 – $25 per hour,2025-03-13,,,Quick Apply
Distribution Centre Assistant,Tahua Group Ltd,Play a key role in supporting our Distribution Centre to ensure that we are delivering an exceptional customer experience.,https://www.seek.co.nz/job/82604896?type=standard&ref=search-standalone&origin=cardTitle#sol=fecfe8f46b4d951d755e3c899bda2ae348178dfd,6d ago,,,Mount Maunganui,Bay of Plenty,$23.84-$29.10 per hour depending on qualifications,2025-03-13,,,Apply
Customer Care Specialist,Fidelity Life,"As we continue to grow, we’re looking for two Customer Care Specialists to join our team",https://www.seek.co.nz/job/82560095?type=standard&ref=search-standalone&origin=cardTitle#sol=eeac01d12d4f4aeb5f9be29c88669345e3a0b1c4,8d ago,,,Mount Maunganui,Bay of Plenty,$25 – $30 per hour,2025-03-13,,,Quick Apply
