title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
IT User Support Specialist - NIWA,NIWA,"What you will be doing: This is a fixed-term opportunity that will allow you to experience a wide variety of IT systems, services, and activities as y",https://www.seek.co.nz/job/82735838?type=standard&ref=search-standalone&origin=cardTitle#sol=e0f30e837aa783f9428cdd7abf0132679e660831,3d ago,,,,,"$115,000 – $135,000 per year",13/03/2025,,Wellington
On-site Support Engineer L1/L2,Cyclone,"Work with a diverse range of technologies, from tailored education software to Enterprise cloud services, our Onsite Engineers play a pivotal role.",https://www.seek.co.nz/job/82667102?type=standard&ref=search-standalone&origin=cardTitle#sol=08600f069e0d257648fd96dc109fb59dcd2cf702,3d ago,,,,,"$138,093 - $152,629",13/03/2025,,Wellington
Corporate Systems Administrator,New Zealand Defence Force | Te Ope Kātua o Aotearoa,Maintain the NZDF Corporate Codification System and keep logistics data current.,https://www.seek.co.nz/job/82647454?type=standard&ref=search-standalone&origin=cardTitle#sol=c1969148f1321af1a814fa59c0afefb758bdfe5d,1d ago,,,,,$25 per hour,13/03/2025,,Wellington
Sponsorship and Marketing Coordinator,Wellington Culinary Events Trust,Be part of two iconic Wellington festivals - Visa Wellington On a Plate and Beervana,https://www.seek.co.nz/job/82641283?type=standard&ref=search-standalone&origin=cardTitle#sol=8edf27d4912063ff0689f213d13ba30fe2f96478,3d ago,,,,,Up to $90k base salary,13/03/2025,,Wellington
Service Management - Product Specialist,Process Panda,Do you enjoy challenging work? Are you interested in building technical solutions that empower customers to better IT Service Management practices?,https://www.seek.co.nz/job/82686424?type=standard&ref=search-standalone&origin=cardTitle#sol=3a23a6588aa86b1b19277db02101e5280811de57,23d ago,,,,,"$75,000 – $85,000 per year",13/03/2025,,Wellington
Cloud Support Engineer,BrightSpark Recruitment,"Work with cutting-edge cloud technologies, during an exciting phase of growth.",https://www.seek.co.nz/job/82643887?type=standard&ref=search-standalone&origin=cardTitle#sol=1be2d16165b2d5ffcc76c9a332004b0bfe4cbed5,57m ago,,,,,,13/03/2025,,Wellington
Brand Manager,Whittaker's,Unique opportunity for an exceptional brand professional to join New Zealand’s biggest chocolate manufacturer!,https://www.seek.co.nz/job/82147644?type=standard&ref=search-standalone&origin=cardTitle#sol=c493de86c26719cc36669ce77e2c0f51c7170eeb,17h ago,,,,,,13/03/2025,,Wellington
Communications Change Manager,Wellington City Council,"Join us as we move into a more strategic space, where we deliver high-impact proactive storytelling at an organisational level",https://www.seek.co.nz/job/82758388?type=standard&ref=search-standalone&origin=cardTitle#sol=4d2fd6babefb00fd8660aa68b226c339d5ccf007,20h ago,,,,,,13/03/2025,,Wellington
Communications Intern,Silvereye Communications,Looking for an Intern to join our team for. This position is perfect for a university student looking to gain hands-on experience in a PR environment.,https://www.seek.co.nz/job/82738030?type=standard&ref=search-standalone&origin=cardTitle#sol=054339e90cd1fac913133e82066f25ad72a92cbb,13d ago,,,,,,13/03/2025,,Wellington
DIGITAL CONTENT COORDINATOR,Samuel Marsden Collegiate School,Marsden is a leading independent school for girls in Wellington.,https://www.seek.co.nz/job/82731398?type=standard&ref=search-standalone&origin=cardTitle#sol=7fc4da754f72a38f7d12ac7262764fba1e18018e,14d ago,,,,,,13/03/2025,,Wellington
